fragrance_id,brand_name,perfume_name,release_year,gender,source
fd_0000001,Indult,Tihota Eau de Parfum,,,fragrance_database
fd_0000002,Di Ser,Sola Parfum,,,fragrance_database
fd_0000003,Di Ser,Kagiroi Parfum,,,fragrance_database
fd_0000004,Montale,Velvet Fantasy Eau de Parfum,,,fragrance_database
fd_0000005,A Lab on Fire,A Blvd. Called Sunset Eau de Parfum,,,fragrance_database
fd_0000006,A Lab on Fire,Freckled and Beautiful Eau de Parfum,,,fragrance_database
fd_0000007,Etat Libre d'Orange,Exit the King Eau de Parfum,,,fragrance_database
fd_0000008,PRIN,Eshu Extrait,,,fragrance_database
fd_0000009,PRIN,Saringkarn Extrait,,,fragrance_database
fd_0000010,PRIN,Arsalan Parfum,,,fragrance_database
fd_0000011,PRIN,Nocturnal Poetry Parfum,,,fragrance_database
fd_0000012,PRIN,Homa Parfum,,,fragrance_database
fd_0000013,Zoologist,Koala Extrait de Parfum,,,fragrance_database
fd_0000014,Maison Francis Kurkdjian,L'Homme A La Rose Eau de Parfum,,,fragrance_database
fd_0000015,Aesop,Rozu Eau de Parfum,,,fragrance_database
fd_0000016,Rogue Perfumery,Champs Lunaires Eau de Toilette,,,fragrance_database
fd_0000017,Isabey,Prends-Moi Eau de Parfum,,,fragrance_database
fd_0000018,Hilde Soliani,Eau de Cuisine Eau de Parfum,,,fragrance_database
fd_0000019,Hilde Soliani,Disobbedienza Eau de Parfum,,,fragrance_database
fd_0000020,Perris Monte Carlo,Vanille de Tahiti Eau de Parfum,,,fragrance_database
fd_0000021,BDK Parfums,Gris Charnel Eau de Parfum,,,fragrance_database
fd_0000022,Molton Brown,Milk Musk Eau de Toilette,,,fragrance_database
fd_0000023,Shay & Blue,Blackberry Woods Eau de Parfum,,,fragrance_database
fd_0000024,Perris Monte Carlo,Lavande Romaine Eau de Parfum,,,fragrance_database
fd_0000025,Electimuss,Celestial Eau de Parfum,,,fragrance_database
fd_0000026,Electimuss,Puritas Eau de Parfum,,,fragrance_database
fd_0000027,Rook Perfumes,Thurible Eau de Parfum,,,fragrance_database
fd_0000028,Rook Perfumes,Suede Eau de Parfum,,,fragrance_database
fd_0000029,Rook Perfumes,Amber Eau de Parfum,,,fragrance_database
fd_0000030,Amouage,Interlude Black Iris Eau de Parfum,,,fragrance_database
fd_0000031,Les Indemodables,Escale En Haiti Eau De Cologne,,,fragrance_database
fd_0000032,Les Indemodables,Escale En Indonesie Eau De Cologne,,,fragrance_database
fd_0000033,HEELEY,Zeste de Gingembre Eau de Parfum,,,fragrance_database
fd_0000034,Parle Moi de Parfum,Haute Provence Eau de Parfum,,,fragrance_database
fd_0000035,Escentric Molecules,Escentric 05 - Travel Spray Eau de Toilette,,,fragrance_database
fd_0000036,Les Bains Guerbois,1979 New Wave Eau de Parfum,,,fragrance_database
fd_0000037,Les Bains Guerbois,2018 Roxo Tonic Eau de Parfum,,,fragrance_database
fd_0000038,BDK Parfums,Sel d'Argent Eau de Parfum,,,fragrance_database
fd_0000039,BDK Parfums,Citrus Riviera Eau de Parfum,,,fragrance_database
fd_0000040,Vilhelm Parfumerie,Smoke Show Eau de Parfum,,,fragrance_database
fd_0000041,Vilhelm Parfumerie,Do Not Disturb Eau de Parfum,,,fragrance_database
fd_0000042,Vilhelm Parfumerie,Room Service Eau de Parfum,,,fragrance_database
fd_0000043,Vilhelm Parfumerie,Purple Fig Eau de Parfum,,,fragrance_database
